,title,label_score
5088,bentrok tni dengan warga pecah di kebumen  warga terluka,0
1461,foundation dengan coverage terbaik tak membuat kulit wajah seperti topeng,0
9832,kucuran modal asing ke indonesia per september  capai rp triliun,0
7052,pt damtour diduga tipu ratusan calon jamaah umrah kerugian rp miliar,0
4765,sambangi rspad ketum ppp sebut kondisi bj habibie berangsur stabil,0
9716,kemkominfo sosialisasikan manfaat bantuan sosial kepada kpm bpntpkh,0
9407,menit kalah di china open shi yu qi mundur dari korea open,0
11315,anies hentikan tender erp anggaran rp  miliar dinolkan,0
8268,persib paling jorjoran di bursa transfer paruh musim liga,0
10723,per  oktober produk makanan minuman wajib bersertifikat halal,0
4986,huawei punya solusi supaya layanan google bisa terpasang di mate,0
4102,nonton trailer perempuan tanah jahanam bikin bulu kuduk merinding,0
2246,sering kena tipu di bisnis properti cynthiara alona kini beralih hati,0
8946,emil nilai indonesia kehilangan sosok inspirator,0
5505,bj habibie meninggal dunia bendera setengah tiang berkibar di sejumlah kedubes,0
2606,sinopsis drama life episode  jo seung woo oppa dijebak,0
10849,ceo nine sport arif putra deklarasi jadi calon ketua pssi,0
8740,cerita penggali makam bj habibie dan ainun,0
8048,bupati mengeluh tol cipali buat ekonomi indramayu menurun,0
7874,hadirkan laptop gaming inilah legion series terbaru lenovo,0
9298,kata politikus ini soal kecenderungan dukungan di munas golkar,0
13740,siap bersaing perebutkan kursi ketua mpr bambang soesatyo kantongi dukungan  suara,0
5090,kepala bnpb doni monardo pantau karhutla di riau,0
2463,penampilan mutia ayu di hari pernikahan dengan glenn fredly cantik bergaun putih,0
7761,pemerintah sediakan rp  m untuk perbaikan fasum di papua,0
5454,iringi pemakaman bj habibie tagar rip bapak teknologi indonesia puncaki lini masa,0
979,orang tewas akibat banjir bandang di india  orang dievakuasi,0
10866,china open  status juara bertahan bukan beban bagi anthony,0
13900,buntut candaan penumpang bawa bom lion air tunda  menit penerbangan banjarmasinjakarta,0
7784,milenial tak boleh meluputkan peninggalan sejarah,0
3187,senin ini kpk panggil melchias marcus mekeng sebagai saksi,0
10146,kemenhub akan belanjakan anggaran rp triliun pada,0
8343,tni al bangun profesionalisme prajurit,0
8798,donna agnesia kagumi habibie sejak kecil,0
4749,maäôruf cahyono serahkan hadiah pemenang lomba pekan konstitusi mpr,0
9805,kpk pastikan penyidikan kasus menpora dilakukan sebelum revisi uu kpk,0
12552,jelang laga arema fc vs borneo fc di liga   momen debut legiun asing baru tim pesut etam,0
9927,arsenal bungkus kemenangan di kandang eintracht frankfurt,0
9858,sam eggington rebut sabuk kelas welter super ibf internasional,0
7987,bpom ingatkan bahaya hoaks produk pangan dan farmasi,0
9143,tak lama lagi samsung galaxy s dan note  bakal kebagian android,0
10370,serang kilang minyak bakal picu harga naik jadi usd per barel,0
1932,persiapan mepet rina mubal arum tetap hadirkan koleksi glamour di ifw,0
11991,kadin revisi uu pertanahan membuat pengusaha risau,0
11146,jadwal timnas u senin hari ini vs filipina di stadion madya,0
7772,polda jabar ungkap perdagangan barang kedaluwarsa,0
13551,spiderman kembali ke mcu diprediksi bakal boyong venom hingga sinister six,0
12309,siasati ketergantungan gawai online dengan offline melalui  aksi panggung musik chapter,0
1414,fimela fest  menjadi perempuan fearless yang piawai mengatur keuangan,0
13045,investor tiongkok jepang dan australia tertarik kembangkan pariwisata di tanjung lesung,0
13979,orang di wamena telah mendaftar untuk dievakuasi usai kerusuhan,0
